295082,GARDNERVILLE  HEALTH & REHAB  CENTER,NV
305024,ROCHESTER MANOR,NH
305046,ROCKINGHAM COUNTY NURSING HOME,NH
305053,GRAFTON COUNTY NURSING HOME,NH
315005,MANORCARE HEALTH SERVICES-NEW PROVIDEN,NJ
315005,MANORCARE HEALTH SERVICES-NEW PROVIDENCE,NJ
315013,MANORCARE HEALTH  SERVICES,NJ
315039,ROOSEVELT CARE CENTER,NJ
315072,HEATH VILLAGE,NJ
315083,NEWPORT NURSING & REHABILITATION CENTE,NJ
315091,CRANFORD HEALTH EXT CARE,NJ
315104,CORNELL HALL CARE & REHABILITATION CEN,NJ
315177,GATEWAY CARE CENTER,NJ
315178,WINDSOR GARDENS CARE CENTER,NJ
315214,ARISTACARE AT CEDAR OAKS,NJ
315215,GREENWOOD HOUSE HOME FOR JEWIS,NJ
315234,OAK RIDGE REHABILITATION & NC,NJ
315236,NEWARK HEALTH AND ECF,NJ
315246,MANORCARE HEALTH SERVICES,NJ
315280,SILVER CARE HEALTH CARE CENTER,NJ
315304,WARREN HAVEN,NJ
315313,CARE ONE AT DUNROVEN,NJ
315339,ORADELL HEALTH CARE CENTER,NJ
315342,MERIDIAN NURSING AND REHABILITATION AT,NJ
315500,MANORCARE HEALTH SERVICES VOORHEES,NJ
325081,HEARTLAND CARE OF HOBBS,NM
325086,CASA MARIA HEALTHCARE CENTER AND PECOS,NM
325114,HEARTLAND CONTINUING CARE CENTER,NM
335011,ST PATRICKS HOME,NY
335255,ELM MANOR NURSING HOME,NY
335285,PINE VALLEY CENTER FOR REHAB AND NURSI,NY
335350,SUTTON PARK CTR NURSING REHAB,NY
335460,MICHAUD RESIDENTIAL HEALTH SERVICES IN,NY
335528,EVERGREEN VALLEY NURSING HOME,NY
335564,ONTARIO COUNTY HEALTH FACILITY,NY
335622,ELDERWOOD HEALTH CARE AT HEATHWOOD,NY
335642,GOWANDA REHABILITATION AND NURSING CENTER,NY
335644,KINGS HARBOR MULTICARE CENTER,NY
335665,TERENCE CARDINAL COOKE H C C,NY
335817,GARDEN CARE CENTER,NY
335850,THE HAMPTONS CENTER FOR REHABILITATION,NY
345002,CYPRESS POINTE REHABILITATION,NC
345111,PENICK VILLAGE,NC
345146,BRITTHAVEN OF PIEDMONT,NC
345207,LIBERTY COMMONS N&R CTR OF COLUMBUS CT,NC
345307,MEADOWWOOD NURSING CENTER,NC
345322,THE LAURELS OF HENDERSONVILLE,NC
345391,HEARTLAND LIVING & REHAB AT THE MOSES H CONE MEM H,NC
345391,HEARTLAND LIVING & REHAB AT THE MOSES,NC
345429,PEAK RESOURCES - PINELAKE,NC
345468,LIBERTY COMMONS NURSING AND REHABILITA,NC
345471,MECKLENBURG HEALTH CARE CENTER,NC
345492,NC STATE VETERANS NURSING HOME,NC
345522,UNIVERSAL HEALTH CARE/FLETCHER,NC
355058,BAPTIST HOME INC,ND
355069,HEARTLAND CARE CENTER,ND
355072,MCKENZIE COUNTY HEALTHCARE SYSTEMS LON,ND
355099,GOOD SAMARITAN SOCIETY - MOTT,ND
355109,SOURIS VALLEY CARE CENTER,ND
365006,HILLSIDE PLAZA,OH
365186,HEARTLAND OF MADEIRA,OH
365196,PLEASANT RIDGE CARE CENTER,OH
365241,ARBORS AT LONDON,OH
365293,HEARTLAND OF MT AIRY,OH
365305,MANORCARE HEALTH SERVICES-WILLOUGHBY,OH
365310,MANORCARE HEALTH SERVICES - NORTH OLMS,OH
365310,MANORCARE HEALTH SERVICES - NORTH OLMSTED,OH
365315,HEARTLAND VICTORIAN VILLAGE,OH
365316,MANORCARE HEALTH SERVICES-AKRON,OH
365324,MANORCARE HLTH SVCS-BELDEN VIL,OH
365330,HEARTLAND OF WAUSEON,OH
365340,MANORCARE HEALTH SERVICES-BARBERTON,OH
365353,CANDLEWOOD PARK HEALTHCARE CEN,OH
365355,MANORCARE HEALTH SERVICES-MAYFIELD HTS,OH
365365,HEARTLAND OF URBANA,OH
365374,HEARTLAND OF BEAVERCREEK,OH
365376,OHIO VALLEY MANOR NSG AND REHA,OH
365392,MANORCARE HEALTH SERVICES-ROCKY RIVER,OH
365393,HEARTLAND OF JACKSON,OH
365433,OMNI MANOR NURSING HOME,OH
365453,HEARTLAND OF OREGON,OH
365514,HEARTLAND OF SPRINGFIELD,OH
365525,HEARTLAND OF CENTERBURG,OH
365532,HEARTLAND OF GREENVILLE,OH
365535,HEARTLAND OF PERRYSBURG,OH
365539,RENAISSANCE NORTH HEALTHCARE CENTER,OH
365557,HEARTLAND OF EATON,OH
365559,HEARTLAND-LANSING,OH
365576,HEARTLAND OF CHILLICOTHE,OH
365577,HEARTLAND OF MARYSVILLE,OH
365579,CARROLL HEALTHCARE CENTER INC,OH
365584,HEARTLAND OF PORTSMOUTH,OH
365594,MANORCARE HEALTH SERVICES-EUCLID BEACH,OH
365601,GREENE OAKS HEALTH CENTER,OH
365607,HEARTLAND OF PIQUA,OH
365615,HEARTLAND OF BELLEFONTAINE,OH
365616,HEARTLAND OF KETTERING,OH
365617,HEARTLAND OF WATERVILLE,OH
365619,HEARTLAND OF BUCYRUS,OH
365620,HEARTLAND OF RIVERVIEW,OH
365621,HEARTLAND OF HILLSBORO,OH
365640,HEARTLAND OF MIAMISBURG,OH
365666,HEARTLAND OF INDIAN LAKE REHAB,OH
365691,HEARTLAND OF MENTOR,OH
365738,HEARTLAND OF WOODRIDGE,OH
365780,HEARTLAND OF MARIETTA,OH
365849,HEARTLAND - HOLLY GLEN,OH
365898,SYLVANIA CARE AND REHABILITATION CENTE,OH
365934,CRESTWOOD NURSING CENTER,OH
365946,MERCY SAINT THERESA CENTER,OH
365949,CONCORD CARE CENTER OF CORTLAND,OH
365961,PIKETON NURSING CENTER,OH
